Experiment	GeneId	Symbol	Control_transcript	Case_transcript	CDS_control	CDS_case	CDS_change	UTR_change	Samples
AML	ENSG00000135404.11	CD63	ENST00000257857.8	ENST00000552067.5	1	1	1	1	TARGET-20-PATDNN-04
AML	ENSG00000135404.11	CD63	ENST00000550776.5	ENST00000548160.5	1	1	1	1	TARGET-20-PALGKX-04
AML	ENSG00000135404.11	CD63	ENST00000550776.5	ENST00000420846.7	1	1	1	1	TARGET-20-PASCRZ-04
AML	ENSG00000135404.11	CD63	ENST00000546939.5	ENST00000552692.5	1	1	1	1	TARGET-20-PAKERZ-04
AML	ENSG00000135404.11	CD63	ENST00000546939.5	ENST00000552067.5	1	1	1	1	TARGET-20-PABLDZ-04
AML	ENSG00000135404.11	CD63	ENST00000546939.5	ENST00000257857.8	1	1	1	1	TARGET-20-PARDDY-04
AML	ENSG00000133226.16	SRRM1	ENST00000323848.13	ENST00000374389.8	1	1	1	1	TARGET-20-PAEERJ-04,TARGET-20-PARBIU-04,TARGET-20-PASGZS-04,TARGET-20-PASINN-04,TARGET-20-PASMYS-04,TARGET-20-PASPLU-04,TARGET-20-PASXNR-04,TARGET-20-PASYJI-04
AML	ENSG00000143947.12	RPS27A	ENST00000404735.1	ENST00000272317.10	1	1	0	1	TARGET-20-PADZCG-04,TARGET-20-PAKIWK-04,TARGET-20-PARDDY-04,TARGET-20-PARYFN-04,TARGET-20-PASCGR-04,TARGET-20-PASGWH-04,TARGET-20-PASTUH-04
AML	ENSG00000143947.12	RPS27A	ENST00000404735.1	ENST00000402285.7	1	1	0	1	TARGET-20-PARFAL-04
AML	ENSG00000008083.13	JARID2	ENST00000341776.6	ENST00000397311.4	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKERZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARCZL-04,TARGET-20-PARTAL-04,TARGET-20-PASVYA-04,TARGET-20-PASYJI-04,TARGET-20-PATDNN-04
AML	ENSG00000148737.15	TCF7L2	ENST00000545257.5	ENST00000369395.5	1	1	1	1	TARGET-20-PASCGR-04
AML	ENSG00000148737.15	TCF7L2	ENST00000534894.5	ENST00000369397.8	1	1	1	1	TARGET-20-PATDNN-04
AML	ENSG00000148737.15	TCF7L2	ENST00000543371.5	ENST00000369397.8	1	1	1	1	TARGET-20-PARLVL-04
AML	ENSG00000148737.15	TCF7L2	ENST00000627217.2	ENST00000369397.8	1	1	1	1	TARGET-20-PASBBE-04
AML	ENSG00000148737.15	TCF7L2	ENST00000538897.5	ENST00000543371.5	1	1	1	1	TARGET-20-PAKTCX-04
AML	ENSG00000148737.15	TCF7L2	ENST00000369386.5	ENST00000369397.8	1	1	1	1	TARGET-20-PAKERZ-04
AML	ENSG00000148737.15	TCF7L2	ENST00000543371.5	ENST00000534894.5	1	1	1	1	TARGET-20-PABLDZ-04
AML	ENSG00000148737.15	TCF7L2	ENST00000538897.5	ENST00000355995.8	1	1	1	1	TARGET-20-PASTUH-04
AML	ENSG00000111640.14	GAPDH	ENST00000396859.5	ENST00000229239.9	1	1	0	1	TARGET-20-PARDDY-04,TARGET-20-PASTUH-04,TARGET-20-PASVVS-04,TARGET-20-PASYJI-04
AML	ENSG00000111640.14	GAPDH	ENST00000396856.5	ENST00000619601.1	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PATDNN-04
AML	ENSG00000111640.14	GAPDH	ENST00000396861.5	ENST00000229239.9	1	1	0	1	TARGET-20-PASWAJ-04
AML	ENSG00000111640.14	GAPDH	ENST00000396859.5	ENST00000619601.1	1	1	1	1	TARGET-20-PAKTCX-04
AML	ENSG00000188243.12	COMMD6	ENST00000355801.4	ENST00000377615.7	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAMYAS-04,TARGET-20-PARDDY-04,TARGET-20-PASCGR-04,TARGET-20-PASTUH-04,TARGET-20-PASYJI-04,TARGET-20-PATDNN-04
AML	ENSG00000188243.12	COMMD6	ENST00000355801.4	ENST00000377619.9	1	1	1	1	TARGET-20-PASVYA-04
AML	ENSG00000141510.15	TP53	ENST00000619485.4	ENST00000445888.6	1	1	1	1	TARGET-20-PAKTCX-04,TARGET-20-PARFAL-04,TARGET-20-PASYJI-04
AML	ENSG00000141510.15	TP53	ENST00000420246.6	ENST00000622645.4	1	1	1	1	TARGET-20-PASMYS-04
AML	ENSG00000141510.15	TP53	ENST00000620739.4	ENST00000420246.6	1	1	1	1	TARGET-20-PAEDKB-04
AML	ENSG00000141510.15	TP53	ENST00000269305.8	ENST00000504937.5	1	1	1	1	TARGET-20-PATDNN-04
AML	ENSG00000141510.15	TP53	ENST00000269305.8	ENST00000622645.4	1	1	1	1	TARGET-20-PASCRZ-04
AML	ENSG00000141510.15	TP53	ENST00000619186.4	ENST00000504937.5	1	1	1	1	TARGET-20-PABLDZ-04
AML	ENSG00000204287.13	HLA-DRA	ENST00000395388.6	ENST00000374982.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PADZCG-04,TARGET-20-PAKTCX-04,TARGET-20-PARUNX-04,TARGET-20-PASCRZ-04,TARGET-20-PASGZS-04,TARGET-20-PASJGZ-04
AML	ENSG00000133112.16	TPT1	ENST00000379060.8	ENST00000379056.5	1	1	1	1	TARGET-20-PAEDKB-04,TARGET-20-PAMYAS-04,TARGET-20-PARDDY-04,TARGET-20-PARYFN-04,TARGET-20-PASVYA-04,TARGET-20-PASYJI-04
AML	ENSG00000133112.16	TPT1	ENST00000530705.5	ENST00000379056.5	1	1	1	1	TARGET-20-PASTUH-04
AML	ENSG00000131584.18	ACAP3	ENST00000354700.9	ENST00000353662.4	1	1	1	1	TARGET-20-PADZCG-04,TARGET-20-PAKIWK-04,TARGET-20-PARYFN-04,TARGET-20-PASCRZ-04,TARGET-20-PASJGZ-04,TARGET-20-PASPLU-04
AML	ENSG00000164011.17	ZNF691	ENST00000372508.7	ENST00000630961.1	1	1	1	1	TARGET-20-PAMYAS-04,TARGET-20-PASGZS-04
AML	ENSG00000164011.17	ZNF691	ENST00000372508.7	ENST00000372506.5	1	1	0	1	TARGET-20-PALGKX-04,TARGET-20-PARDDY-04
AML	ENSG00000164011.17	ZNF691	ENST00000372508.7	ENST00000372507.5	1	1	0	1	TARGET-20-PAPXRJ-04
AML	ENSG00000164011.17	ZNF691	ENST00000372508.7	ENST00000372502.5	1	1	1	1	TARGET-20-PASTUH-04
AML	ENSG00000126091.19	ST3GAL3	ENST00000361392.8	ENST00000330208.6	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARDDY-04
AML	ENSG00000126091.19	ST3GAL3	ENST00000545417.5	ENST00000372374.6	1	1	1	1	TARGET-20-PAEDKB-04
AML	ENSG00000126091.19	ST3GAL3	ENST00000361392.8	ENST00000372374.6	1	1	1	1	TARGET-20-PASCRZ-04
AML	ENSG00000126091.19	ST3GAL3	ENST00000361392.8	ENST00000372365.5	1	1	1	1	TARGET-20-PADZCG-04
AML	ENSG00000168028.13	RPSA	ENST00000301821.10	ENST00000443003.2	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PARLVL-04,TARGET-20-PASJGZ-04,TARGET-20-PASVYA-04,TARGET-20-PATIAK-04
AML	ENSG00000088727.12	KIF9	ENST00000432493.5	ENST00000265529.7	1	1	1	1	TARGET-20-PAEDKB-04,TARGET-20-PASWAJ-04
AML	ENSG00000088727.12	KIF9	ENST00000432493.5	ENST00000335044.6	1	1	1	1	TARGET-20-PASCRZ-04,TARGET-20-PASJGZ-04
AML	ENSG00000088727.12	KIF9	ENST00000432493.5	ENST00000444589.6	1	1	1	1	TARGET-20-PARBIU-04
AML	ENSG00000088727.12	KIF9	ENST00000335044.6	ENST00000265529.7	1	1	0	1	TARGET-20-PARDDY-04
AML	ENSG00000163931.15	TKT	ENST00000423516.5	ENST00000462138.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PADZCG-04,TARGET-20-PAKTCX-04,TARGET-20-PANLIZ-04,TARGET-20-PASCRZ-04
AML	ENSG00000163931.15	TKT	ENST00000423516.5	ENST00000296289.10	1	1	1	1	TARGET-20-PATDNN-04
AML	ENSG00000164587.11	RPS14	ENST00000521466.5	ENST00000401695.7	1	1	0	1	TARGET-20-PAMYAS-04,TARGET-20-PARBIU-04,TARGET-20-PASWAJ-04
AML	ENSG00000164587.11	RPS14	ENST00000312037.5	ENST00000407193.5	1	1	0	1	TARGET-20-PARYVW-04,TARGET-20-PASCGR-04
AML	ENSG00000164587.11	RPS14	ENST00000401695.7	ENST00000521466.5	1	1	0	1	TARGET-20-PATDNN-04
AML	ENSG00000204628.11	GNB2L1	ENST00000376817.8	ENST00000626067.1	1	1	1	1	TARGET-20-PAEDKB-04,TARGET-20-PASJGZ-04,TARGET-20-PASYJI-04
AML	ENSG00000204628.11	GNB2L1	ENST00000626067.1	ENST00000504726.1	1	1	1	1	TARGET-20-PATDNN-04
AML	ENSG00000204628.11	GNB2L1	ENST00000504726.1	ENST00000514455.5	1	1	1	1	TARGET-20-PASCRZ-04
AML	ENSG00000204628.11	GNB2L1	ENST00000504726.1	ENST00000511566.5	1	1	1	1	TARGET-20-PABLDZ-04
AML	ENSG00000223609.7	HBD	ENST00000380299.3	ENST00000292901.7	1	1	1	1	TARGET-20-PARBIU-04,TARGET-20-PARDDY-04,TARGET-20-PARFAL-04,TARGET-20-PASTUH-04,TARGET-20-PASVVS-04,TARGET-20-PASYJI-04
AML	ENSG00000072518.20	MARK2	ENST00000408948.7	ENST00000350490.11	1	1	1	1	TARGET-20-PARYFN-04
AML	ENSG00000072518.20	MARK2	ENST00000408948.7	ENST00000377810.7	1	1	1	1	TARGET-20-PATDNN-04
AML	ENSG00000072518.20	MARK2	ENST00000509502.6	ENST00000402010.6	1	1	1	1	TARGET-20-PAKTCX-04
AML	ENSG00000072518.20	MARK2	ENST00000408948.7	ENST00000509502.6	1	1	1	1	TARGET-20-PAKERZ-04
AML	ENSG00000072518.20	MARK2	ENST00000377810.7	ENST00000508192.5	1	1	1	1	TARGET-20-PARDDY-04
AML	ENSG00000072518.20	MARK2	ENST00000408948.7	ENST00000502399.7	1	1	1	1	TARGET-20-PASHYZ-04
AML	ENSG00000149273.14	RPS3	ENST00000524851.5	ENST00000526608.5	1	1	1	1	TARGET-20-PADZCG-04,TARGET-20-PAMYAS-04,TARGET-20-PARDDY-04,TARGET-20-PASCGR-04,TARGET-20-PASVVS-04
AML	ENSG00000149273.14	RPS3	ENST00000531188.5	ENST00000530164.5	1	1	1	1	TARGET-20-PARFAL-04
AML	ENSG00000165795.20	NDRG2	ENST00000554143.5	ENST00000298684.9	1	1	1	1	TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04
AML	ENSG00000165795.20	NDRG2	ENST00000554143.5	ENST00000350792.7	1	1	0	1	TARGET-20-PASJGZ-04
AML	ENSG00000165795.20	NDRG2	ENST00000350792.7	ENST00000360463.7	1	1	0	1	TARGET-20-PARCVS-04
AML	ENSG00000165795.20	NDRG2	ENST00000554143.5	ENST00000397844.6	1	1	1	1	TARGET-20-PADZCG-04
AML	ENSG00000165795.20	NDRG2	ENST00000554143.5	ENST00000397851.6	1	1	1	0	TARGET-20-PASVVS-04
AML	ENSG00000169246.16	NPIPB3	ENST00000542817.1	ENST00000448012.6	1	1	1	1	TARGET-20-PAEDKB-04,TARGET-20-PARFAL-04,TARGET-20-PASCGR-04,TARGET-20-PASCRZ-04,TARGET-20-PASGZS-04,TARGET-20-PASINN-04
AML	ENSG00000167522.14	ANKRD11	ENST00000301030.8	ENST00000378330.6	1	1	0	1	TARGET-20-PABLDZ-04,TARGET-20-PADZCG-04,TARGET-20-PAKIWK-04,TARGET-20-PASCRZ-04,TARGET-20-PASGZS-04,TARGET-20-PATDNN-04
AML	ENSG00000099860.8	GADD45B	ENST00000215631.8	ENST00000587345.1	1	1	1	1	TARGET-20-PAEFGT-04,TARGET-20-PAKIWK-04,TARGET-20-PAKTCX-04,TARGET-20-PARYFN-04,TARGET-20-PASGWH-04,TARGET-20-PASYJI-04
AML	ENSG00000244274.7	DBNDD2	ENST00000360981.8	ENST00000357275.6	1	1	0	1	TARGET-20-PABLDZ-04,TARGET-20-PADZCG-04,TARGET-20-PARDDY-04
AML	ENSG00000244274.7	DBNDD2	ENST00000372720.7	ENST00000372710.3	1	1	1	1	TARGET-20-PAEDKB-04
AML	ENSG00000244274.7	DBNDD2	ENST00000360981.8	ENST00000372723.7	1	1	0	1	TARGET-20-PATDNN-04
AML	ENSG00000244274.7	DBNDD2	ENST00000360981.8	ENST00000372717.5	1	1	1	1	TARGET-20-PAEIKD-04
AML	ENSG00000116670.14	MAD2L2	ENST00000376692.8	ENST00000376667.7	1	1	0	1	TARGET-20-PARFAL-04,TARGET-20-PARYFN-04,TARGET-20-PASCGR-04
AML	ENSG00000116670.14	MAD2L2	ENST00000376692.8	ENST00000376672.5	1	1	1	1	TARGET-20-PASVYA-04
AML	ENSG00000116670.14	MAD2L2	ENST00000376692.8	ENST00000376669.9	1	1	1	1	TARGET-20-PAKTCX-04
AML	ENSG00000132781.17	MUTYH	ENST00000456914.6	ENST00000529984.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PADZCG-04,TARGET-20-PAEDKB-04
AML	ENSG00000132781.17	MUTYH	ENST00000456914.6	ENST00000488731.6	1	1	1	1	TARGET-20-PATDNN-04
AML	ENSG00000132781.17	MUTYH	ENST00000372104.5	ENST00000448481.5	1	1	1	1	TARGET-20-PASCRZ-04
AML	ENSG00000162604.12	TM2D1	ENST00000606498.5	ENST00000371177.2	1	1	1	1	TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04,TARGET-20-PASGZS-04,TARGET-20-PASMYS-04
AML	ENSG00000162604.12	TM2D1	ENST00000606498.5	ENST00000371180.6	1	1	1	1	TARGET-20-PALGKX-04
AML	ENSG00000224699.8	LAMTOR5-AS1	ENST00000457535.5	ENST00000587691.1	0	0	0	1	TARGET-20-PABLDZ-04,TARGET-20-PARYFN-04
AML	ENSG00000224699.8	LAMTOR5-AS1	ENST00000457535.5	ENST00000590826.3	0	0	0	1	TARGET-20-PASHYZ-04,TARGET-20-PATDNN-04
AML	ENSG00000224699.8	LAMTOR5-AS1	ENST00000457535.5	ENST00000597455.2	0	0	0	1	TARGET-20-PARLVL-04
AML	ENSG00000163159.11	VPS72	ENST00000368892.8	ENST00000354473.4	1	1	1	1	TARGET-20-PADZCG-04,TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04,TARGET-20-PASMYS-04,TARGET-20-PASYJI-04
AML	ENSG00000162772.16	ATF3	ENST00000341491.8	ENST00000613954.4	1	1	1	1	TARGET-20-PAKIWK-04,TARGET-20-PARDDY-04
AML	ENSG00000162772.16	ATF3	ENST00000336937.8	ENST00000366987.6	1	1	1	1	TARGET-20-PASCRZ-04
AML	ENSG00000162772.16	ATF3	ENST00000464547.5	ENST00000366987.6	0	1	1	1	TARGET-20-PAKTCX-04
AML	ENSG00000162772.16	ATF3	ENST00000341491.8	ENST00000366987.6	1	1	0	1	TARGET-20-PABLDZ-04
AML	ENSG00000151353.14	TMEM18	ENST00000405941.3	ENST00000281017.7	1	1	1	1	TARGET-20-PARLVL-04,TARGET-20-PASBBE-04,TARGET-20-PASCRZ-04,TARGET-20-PASGZS-04
AML	ENSG00000151353.14	TMEM18	ENST00000405941.3	ENST00000355654.6	1	1	1	1	TARGET-20-PASMYS-04
AML	ENSG00000071082.10	RPL31	ENST00000409733.5	ENST00000409320.7	1	1	1	1	TARGET-20-PAMYAS-04,TARGET-20-PARDDY-04
AML	ENSG00000071082.10	RPL31	ENST00000409038.5	ENST00000409028.8	1	1	1	1	TARGET-20-PARBIU-04
AML	ENSG00000071082.10	RPL31	ENST00000409320.7	ENST00000409733.5	1	1	1	1	TARGET-20-PATDNN-04
AML	ENSG00000071082.10	RPL31	ENST00000409038.5	ENST00000409650.5	1	1	1	1	TARGET-20-PASPLU-04
AML	ENSG00000151689.12	INPP1	ENST00000322522.8	ENST00000392329.6	1	1	0	1	TARGET-20-PAEDKB-04,TARGET-20-PAKIWK-04,TARGET-20-PARTAL-04,TARGET-20-PASCGR-04,TARGET-20-PASTUH-04
AML	ENSG00000168918.13	INPP5D	ENST00000445964.5	ENST00000359570.9	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PADZCG-04,TARGET-20-PAEDKB-04,TARGET-20-PARDDY-04,TARGET-20-PASMYS-04
AML	ENSG00000182606.14	TRAK1	ENST00000613405.4	ENST00000327628.9	1	1	1	1	TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04,TARGET-20-PASPLU-04
AML	ENSG00000182606.14	TRAK1	ENST00000487159.5	ENST00000396175.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PATDNN-04
AML	ENSG00000114737.15	CISH	ENST00000348721.3	ENST00000443053.6	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAMYAS-04,TARGET-20-PARLVL-04,TARGET-20-PASHYZ-04,TARGET-20-PATDNN-04
AML	ENSG00000114054.13	PCCB	ENST00000251654.8	ENST00000482086.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PATDNN-04
AML	ENSG00000114054.13	PCCB	ENST00000251654.8	ENST00000483687.5	1	1	1	1	TARGET-20-PASJGZ-04
AML	ENSG00000114054.13	PCCB	ENST00000469217.5	ENST00000478469.5	1	1	1	1	TARGET-20-PARLVL-04
AML	ENSG00000163453.11	IGFBP7	ENST00000295666.6	ENST00000514062.2	1	1	1	1	TARGET-20-PARCVS-04,TARGET-20-PARYFN-04,TARGET-20-PASCRZ-04,TARGET-20-PASGWH-04,TARGET-20-PASPLU-04
AML	ENSG00000219545.9	UMAD1	ENST00000406829.2	ENST00000471760.5	0	0	0	1	TARGET-20-PAEDKB-04,TARGET-20-PARDDY-04,TARGET-20-PASCRZ-04,TARGET-20-PASINN-04,TARGET-20-PASMYS-04
AML	ENSG00000205307.10	SAP25	ENST00000538735.5	ENST00000614631.4	1	1	0	1	TARGET-20-PAKIWK-04,TARGET-20-PANLIZ-04,TARGET-20-PARCVS-04,TARGET-20-PARCZL-04,TARGET-20-PASTUH-04
AML	ENSG00000168255.18	POLR2J3	ENST00000608621.5	ENST00000511313.5	0	1	1	1	TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04,TARGET-20-PASINN-04,TARGET-20-PASPLU-04
AML	ENSG00000168255.18	POLR2J3	ENST00000379340.9	ENST00000379357.9	0	1	1	1	TARGET-20-PAEIKD-04
AML	ENSG00000095370.19	SH2D3C	ENST00000314830.12	ENST00000420366.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PARCZL-04,TARGET-20-PATDNN-04
AML	ENSG00000095370.19	SH2D3C	ENST00000314830.12	ENST00000373277.8	1	1	1	1	TARGET-20-PANLIZ-04,TARGET-20-PARCVS-04
AML	ENSG00000139637.13	C12orf10	ENST00000267103.9	ENST00000548632.5	1	1	1	1	TARGET-20-PAEDKB-04,TARGET-20-PASGZS-04,TARGET-20-PASPLU-04
AML	ENSG00000139637.13	C12orf10	ENST00000267103.9	ENST00000549488.5	1	1	1	1	TARGET-20-PAKTCX-04,TARGET-20-PATDNN-04
AML	ENSG00000119689.14	DLST	ENST00000334220.8	ENST00000626051.1	1	1	1	1	TARGET-20-PAEIKD-04,TARGET-20-PARBIU-04,TARGET-20-PARTAL-04,TARGET-20-PASBBE-04,TARGET-20-PASWAJ-04
AML	ENSG00000184986.10	TMEM121	ENST00000431372.1	ENST00000392519.6	1	1	0	1	TARGET-20-PANLIZ-04,TARGET-20-PARCZL-04,TARGET-20-PASGZS-04,TARGET-20-PASVYA-04,TARGET-20-PATIAK-04
AML	ENSG00000140455.16	USP3	ENST00000380324.7	ENST00000268049.11	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEFGT-04,TARGET-20-PAKERZ-04,TARGET-20-PARCVS-04
AML	ENSG00000140455.16	USP3	ENST00000380324.7	ENST00000540797.5	1	1	1	1	TARGET-20-PARUNX-04
AML	ENSG00000183793.13	NPIPA5	ENST00000360151.8	ENST00000543801.5	1	1	1	1	TARGET-20-PAKTCX-04,TARGET-20-PARYVW-04,TARGET-20-PASCGR-04,TARGET-20-PASTUH-04
AML	ENSG00000183793.13	NPIPA5	ENST00000360151.8	ENST00000534094.1	1	1	1	1	TARGET-20-PASHYZ-04
AML	ENSG00000090905.17	TNRC6A	ENST00000315183.11	ENST00000395799.7	1	1	1	1	TARGET-20-PAKTCX-04,TARGET-20-PAMYAS-04,TARGET-20-PAPXRJ-04,TARGET-20-PARUNX-04,TARGET-20-PATDNN-04
AML	ENSG00000205609.12	EIF3CL	ENST00000380876.4	ENST00000398944.7	1	1	0	1	TARGET-20-PABLDZ-04,TARGET-20-PASCRZ-04,TARGET-20-PASGWH-04,TARGET-20-PASMYS-04,TARGET-20-PATDNN-04
AML	ENSG00000040633.12	PHF23	ENST00000320316.7	ENST00000571362.5	1	1	1	1	TARGET-20-PAKTCX-04,TARGET-20-PAMYAS-04,TARGET-20-PARYFN-04
AML	ENSG00000040633.12	PHF23	ENST00000571362.5	ENST00000576955.5	1	1	1	1	TARGET-20-PATDNN-04
AML	ENSG00000040633.12	PHF23	ENST00000320316.7	ENST00000576955.5	1	1	1	1	TARGET-20-PABLDZ-04
AML	ENSG00000108774.14	RAB5C	ENST00000346213.8	ENST00000547517.5	1	1	1	1	TARGET-20-PAEDKB-04,TARGET-20-PARCZL-04,TARGET-20-PARDDY-04,TARGET-20-PASMYS-04,TARGET-20-PASTUH-04
AML	ENSG00000178927.16	C17orf62	ENST00000342572.12	ENST00000585064.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PARDDY-04,TARGET-20-PASCRZ-04
AML	ENSG00000178927.16	C17orf62	ENST00000583617.5	ENST00000577436.5	1	1	1	1	TARGET-20-PASJGZ-04
AML	ENSG00000178927.16	C17orf62	ENST00000342572.12	ENST00000434650.6	1	1	1	1	TARGET-20-PASHYZ-04
AML	ENSG00000196628.13	TCF4	ENST00000566279.5	ENST00000568673.5	1	1	1	1	TARGET-20-PASJGZ-04,TARGET-20-PASWAJ-04
AML	ENSG00000196628.13	TCF4	ENST00000537856.7	ENST00000568673.5	1	1	1	1	TARGET-20-PASCGR-04
AML	ENSG00000196628.13	TCF4	ENST00000354452.7	ENST00000566279.5	1	1	1	1	TARGET-20-PARDDY-04
AML	ENSG00000196628.13	TCF4	ENST00000567880.5	ENST00000564228.5	1	1	1	0	TARGET-20-PASHYZ-04
AML	ENSG00000172270.18	BSG	ENST00000353555.8	ENST00000618006.4	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAKTCX-04,TARGET-20-PASCRZ-04
AML	ENSG00000172270.18	BSG	ENST00000353555.8	ENST00000614867.2	1	1	1	1	TARGET-20-PATDNN-04
AML	ENSG00000172270.18	BSG	ENST00000346916.8	ENST00000545507.6	1	1	1	1	TARGET-20-PARYVW-04
AML	ENSG00000115286.19	NDUFS7	ENST00000233627.13	ENST00000313408.11	1	1	1	1	TARGET-20-PASCRZ-04,TARGET-20-PASJGZ-04,TARGET-20-PASMYS-04
AML	ENSG00000115286.19	NDUFS7	ENST00000233627.13	ENST00000539480.5	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEDKB-04
AML	ENSG00000104964.14	AES	ENST00000327141.8	ENST00000221561.12	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PAEFGT-04,TARGET-20-PAKTCX-04,TARGET-20-PASGWH-04
AML	ENSG00000104964.14	AES	ENST00000327141.8	ENST00000586839.1	1	1	1	1	TARGET-20-PARYFN-04
AML	ENSG00000104853.15	CLPTM1	ENST00000546079.5	ENST00000337392.9	1	1	1	1	TARGET-20-PAEDKB-04,TARGET-20-PAKTCX-04,TARGET-20-PARDDY-04,TARGET-20-PASVVS-04,TARGET-20-PASYJI-04
AML	ENSG00000105379.9	ETFB	ENST00000309244.8	ENST00000354232.8	1	1	1	1	TARGET-20-PADZCG-04,TARGET-20-PAEDKB-04,TARGET-20-PASCRZ-04,TARGET-20-PASJGZ-04,TARGET-20-PASYJI-04
AML	ENSG00000186716.19	BCR	ENST00000359540.7	ENST00000305877.12	1	1	1	1	TARGET-20-PARCVS-04,TARGET-20-PARUNX-04,TARGET-20-PASYJI-04
AML	ENSG00000186716.19	BCR	ENST00000359540.7	ENST00000398512.9	1	1	1	1	TARGET-20-PABLDZ-04,TARGET-20-PATDNN-04
AML	ENSG00000128245.14	YWHAH	ENST00000248975.5	ENST00000397492.1	1	1	1	1	TARGET-20-PADZCG-04,TARGET-20-PANLIZ-04,TARGET-20-PARBIU-04,TARGET-20-PARDDY-04,TARGET-20-PARYFN-04
